Master_CDF,feeder_voltage,feeder_max_hc,feeder_min_hc,feeder_dg_connected_since_refresh,hca_refresh_date,color,shape_length
36_13_81756,13.2,0,0,0,2022/10/01 00:00:00+00,brown,1.277295106
36_13_81757,13.2,1.1,0.1,0.01,2022/10/01 00:00:00+00,green,3.175783235
36_13_81758,13.2,8.72,1.2,0,2022/10/01 00:00:00+00,dark blue,0.238415688
36_13_87551,13.2,0,0,0,2022/10/01 00:00:00+00,brown,2.064842384
36_13_87552,13.2,1.33,0.04,0,2022/10/01 00:00:00+00,green,1.529848608
36_13_87553,13.2,1.29,0.17,0.01,2022/10/01 00:00:00+00,green,1.140406228
36_13_87554,13.2,1.37,0.15,0.03,2022/10/01 00:00:00+00,green,2.935294084
36_13_87555,13.2,0.36,0.36,0,2022/10/01 00:00:00+00,red,0.048593671
36_14_10061,4.8,2.93,0.4,0,2022/10/01 00:00:00+00,light blue,0.118992872
36_14_10062,4.8,4.2,0.5,0,2022/10/01 00:00:00+00,blue,0.05371497
36_14_13564,4.8,0,0,0,2022/10/01 00:00:00+00,brown,0.534028836
36_14_13565,4.8,0.1,0,0,2022/10/01 00:00:00+00,brown,0.5868033
36_14_21671,4.8,3.62,0.1,0,2022/10/01 00:00:00+00,blue,0.385526988
36_14_21672,4.8,3.62,0.2,0,2022/10/01 00:00:00+00,blue,0.48257826
36_14_21673,4.8,3.62,0.1,0,2022/10/01 00:00:00+00,blue,0.100517089
36_14_25453,13.2,10,0.7,0,2022/10/01 00:00:00+00,dark blue,0.289604525
36_14_25455,13.2,9.12,0.13,0.01,2022/10/01 00:00:00+00,dark blue,0.716772541
36_14_25456,13.2,9.35,0.1,0.03,2022/10/01 00:00:00+00,dark blue,1.360309834
36_14_25457,13.2,8.94,0.05,0,2022/10/01 00:00:00+00,dark blue,0.291315176
36_14_25458,13.2,10,0.3,0.02,2022/10/01 00:00:00+00,dark blue,0.532780734
36_14_25652,13.2,0,0,0,2022/10/01 00:00:00+00,brown,1.445546133
36_14_25653,13.2,0,0,0,2022/10/01 00:00:00+00,brown,1.335958136
36_14_28352,13.2,9.95,0.2,0,2022/10/01 00:00:00+00,dark blue,0.225573122
36_14_28353,13.2,9.85,0.3,0,2022/10/01 00:00:00+00,dark blue,0.300116655
36_14_28354,13.2,0.1,0,0,2022/10/01 00:00:00+00,brown,1.21809116
36_14_29351,13.2,0,0,0,2022/10/01 00:00:00+00,brown,1.165316109
36_14_29651,13.2,8.94,0.1,0,2022/10/01 00:00:00+00,dark blue,0.335876828
36_14_29652,13.2,0,0,0,2022/10/01 00:00:00+00,brown,1.797160659
36_14_29653,13.2,8.96,0.03,0,2022/10/01 00:00:00+00,dark blue,0.537817589
36_14_29951,13.2,10,0.1,0,2022/10/01 00:00:00+00,dark blue,0.482658451
36_14_4361,4.8,1.61,0.2,0,2022/10/01 00:00:00+00,turquoise,0.723651106
36_14_4362,4.8,2.7,0.2,0,2022/10/01 00:00:00+00,light blue,0.317695728
36_14_5166,4.8,0.3,0.1,0,2022/10/01 00:00:00+00,red,0.233059708
36_16_32151,13.2,0.5,0.2,0,2022/10/01 00:00:00+00,yellow,2.196854656
36_16_32451,13.2,0,0,5,2022/10/01 00:00:00+00,brown,1.819245853
36_16_32452,13.2,7.1,0.08,0,2022/10/01 00:00:00+00,dark blue,0.692302753
