ProjectType,NamePlateRating,InServiceDate,ProjectStatus,ProjectID,CompletionDate,ProjectCircuitID,Hybrid,SolarPV,EnergyStorageSystem,Wind,MicroTurbine,SynchronousGenerator,InductionGenerator,FarmWaste,FuelCell,CombinedHeatandPower,GasTurbine,Hydro,InternalCombustionEngine,SteamTurbine,Other
NRESPHOTO,2000,NULL,NULL,10006,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,10011,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,68.4,NULL,NULL,10125,NULL,NULL,N,68.4,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,10128,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,10144,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,10145,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,10177,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,10289,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,10290,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,10291,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,10292,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,10293,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,10299,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,10301,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,10302,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,10303,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,10335,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,10336,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,10337,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission,5000,NULL,NULL,1561,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOAD,0,NULL,NULL,3204,00:00.0,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission,500000,NULL,NULL,4205,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission,0,NULL,NULL,7242,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,10419,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,170,NULL,NULL,10462,NULL,NULL,N,170,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,10498,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,1999.5,NULL,NULL,10519,NULL,NULL,N,1999.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission,NULL,NULL,NULL,10684,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission,NULL,NULL,NULL,10688,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ComSolar,98000,NULL,NULL,10691,NULL,NULL,N,98000,0,0,0,0,0,0,0,0,0,0,0,0,0
ComWind,303.62,NULL,NULL,10692,NULL,NULL,N,0,0,303.62,0,0,0,0,0,0,0,0,0,0,0
ComWind,100000,NULL,NULL,10693,NULL,NULL,N,0,0,100000,0,0,0,0,0,0,0,0,0,0,0
Transmission,NULL,NULL,NULL,10696,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission,1000000,NULL,NULL,10705,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission,1000000,NULL,NULL,10706,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission,NULL,NULL,NULL,10714,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,10746,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,10781,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
FARMWASTE,1000,NULL,NULL,10894,NULL,NULL,N,0,0,0,0,0,0,1000,0,0,0,0,0,0,0
NRESPHOTO,4000,NULL,NULL,10998,NULL,NULL,N,4000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,1000,NULL,NULL,11022,NULL,NULL,N,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,1200,NULL,NULL,11075,NULL,NULL,N,1200,0,0,0,0,0,0,0,0,0,0,0,0,0
