DER_ID,SERVICE_STREET_ADDRESS,DER_TYPE,DER_NAMEPLATE_RATING,DER_INTERCONNECTION_LOCATION,INTERCONNECTION_COST
391308,null,Solar,7.6,36_39_01251,0
386550,null,Solar,6,36_32_36452,0
390019,null,Solar,7,36_32_36051,0
398157,null,Solar,9,36_01_20655,0
388371,null,Solar,7.6,36_10_2562,0
243558,null,Solar,17.4,36_30_28355,0
243589,null,Solar,10,36_28_37061,0
387539,null,Solar,10.56,36_06_8255,0
242976,null,Solar,24.6,36_11_5956,0
386179,null,Solar,7.6,36_30_02158,0
405515,null,Hydro,5700,null,0
243341,null,Solar,7.2,36_17_66851,0
242963,null,Solar,6,36_41_41853,0
399262,null,Solar,10.5,36_17_66356,0
387951,null,Solar,7.678,36_39_41554,0
243121,null,Solar,6.72,36_11_27451,0
243183,null,Solar,15.2,36_31_12353,0
388091,null,Solar,11.4,36_39_34258,0
243485,null,Solar,6.24,36_39_44358,0
391533,null,Solar,21.6,36_35_32422,0
243287,null,Solar,7.6,36_35_39252,0
243361,null,Solar,5.76,36_11_29057,0
243334,null,Solar,3.8,36_01_4363,0
243190,null,Solar,10,36_30_28356,0
383613,null,Solar,4.8,36_01_12963,0
243331,null,Solar,3.8,36_03_6452,0
243298,null,Solar,5,36_30_37151,0
387641,null,Solar,4.2,36_39_01251,0
383502,null,Solar,10,36_32_44258,0
389969,null,Solar,11.4,36_31_12353,0
243735,null,Solar,10,36_03_7652,0
243094,null,Solar,10.6,36_01_2161,0
405489,null,Hydro,1200,null,0
243407,null,Solar,11.52,36_30_07852,0
243717,null,Solar,4.62,36_07_18254,0
243471,null,Solar,15.2,36_30_40251,0
403364,null,Solar,11.4,36_40_28452,0
243742,null,Solar,12.8,36_06_9863,0
398653,null,Solar,12,36_04_0457,0
243607,null,Solar,3.8,36_03_6452,0
388140,null,Solar,5.67,36_31_30751,0
243477,null,Solar,7.6,36_32_13755,0
385917,null,Solar,7.6,36_06_7765,0
243751,null,Solar,6.67,36_30_29110,0
243466,null,Solar,6,36_39_41553,0
238697,null,Solar,21.4,36_06_9562,0
237463,null,Solar,7.6,36_01_3864,0
238606,null,Solar,3,36_17_33351,0
237672,null,Solar,12.48,36_39_130154,0
237640,null,Solar,7.6,36_35_39251,0
